"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.268183335E-2,1.272055693E-2,-3.170254827E-2,4.598825797E-2
3.276983334E-2,1.755905524E-2,-3.948671371E-2,4.721441492E-2
5.285783333E-2,3.432282060E-2,-1.676786318E-2,2.685827017E-2
7.294583338E-2,-4.229179118E-3,4.198953509E-3,9.464788251E-3
9.303483338E-2,-8.377768099E-2,-2.240493149E-2,8.373288438E-4
1.131228334E-1,-1.008318514E-1,-1.064040139E-2,1.336605847E-2
1.332110000E-1,-4.415040463E-2,3.344055731E-3,2.617551200E-2
1.532990000E-1,7.633999456E-3,-1.737432927E-2,4.801905528E-2
1.733870000E-1,4.335385282E-3,-1.991140656E-2,6.530439854E-2
1.934750000E-1,-2.465141006E-4,1.114646718E-2,6.044360250E-2
2.135630000E-1,1.935598440E-2,4.722036049E-2,6.252700090E-2
2.336520000E-1,4.102149606E-2,5.382486433E-2,5.425600708E-2
2.537400000E-1,3.701461852E-2,5.014706776E-2,5.368780345E-2
2.738280000E-1,5.615172908E-3,4.007621109E-2,5.439424515E-2
2.939160000E-1,-1.728795003E-3,3.312957287E-2,4.187205434E-2
3.140040000E-1,1.884160005E-2,3.537895903E-2,1.736436784E-2
3.340920000E-1,5.489436910E-3,2.467457019E-2,1.365377568E-3
3.541810000E-1,-2.305317670E-2,3.313355148E-2,-6.353950128E-3
3.742690000E-1,-2.151678875E-2,4.548944905E-2,3.345116042E-3
3.943570000E-1,-2.138111740E-2,2.414184250E-2,1.832418330E-2
4.144450000E-1,7.191266399E-3,3.612039238E-2,2.337561920E-2
4.345330001E-1,4.643270001E-2,4.594378546E-2,3.327718377E-2
4.546210000E-1,4.154572263E-2,3.241893649E-2,6.381554157E-2
4.747090000E-1,6.071163341E-3,1.612490043E-2,7.505419105E-2
4.947980000E-1,-1.047234610E-2,3.591079265E-2,7.716751099E-2
5.148860000E-1,-1.179211587E-2,3.315216675E-2,8.599477261E-2
5.349740000E-1,2.293022349E-2,3.470375203E-3,9.094196558E-2
5.550620000E-1,5.994720012E-2,-1.575841196E-2,6.410373747E-2
5.751500000E-1,6.066132337E-2,-1.495022327E-2,2.680798247E-2
