"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.268183335E-2,-5.550136898E-2,-1.177772489E-1,1.794492942E-1
3.276983334E-2,4.001140036E-3,-1.175673339E-1,3.898747981E-2
5.285783333E-2,1.304469958E-1,-5.889578730E-2,4.110183299E-2
7.294583338E-2,1.900197079E-1,-5.367743969E-4,-9.574523270E-2
9.303483338E-2,4.541894194E-2,9.808558077E-2,-3.487519151E-1
1.131228334E-1,-4.975691814E-2,3.933217317E-2,-8.984597683E-2
1.332110000E-1,-4.789658993E-2,-2.375606775E-2,3.185960698E-1
1.532990000E-1,-1.066479510E-1,-6.897843361E-2,3.958073831E-1
1.733870000E-1,-1.426373075E-1,-8.612393171E-2,2.201464999E-1
1.934750000E-1,-1.417778034E-2,-6.082946151E-2,2.058635062E-1
2.135630000E-1,2.332936719E-2,-8.338626534E-2,2.754050267E-1
2.336520000E-1,6.270042434E-2,-7.221486747E-2,2.325624776E-1
2.537400000E-1,1.116200212E-1,-2.218492091E-2,1.065128803E-1
2.738280000E-1,1.337695299E-1,3.435473084E-2,-9.847471297E-2
2.939160000E-1,1.392516966E-1,1.231794915E-1,-7.172954857E-2
3.140040000E-1,2.694553020E-1,1.539835006E-1,7.451516211E-2
3.340920000E-1,2.175929112E-1,1.266346112E-1,-1.831289470E-2
3.541810000E-1,1.548333568E-1,1.334521723E-1,-7.015196979E-2
3.742690000E-1,5.437508561E-2,6.115544379E-2,6.809959710E-2
3.943570000E-1,-3.551953275E-2,3.699533343E-3,2.280706465E-2
4.144450000E-1,-8.131269649E-2,-5.017524987E-2,1.856713164E-1
4.345330001E-1,-7.849770069E-2,-1.072885135E-1,2.747086233E-1
4.546210000E-1,-2.304117255E-1,-1.641617489E-1,8.307840943E-2
4.747090000E-1,-1.870912031E-1,-1.769975567E-1,-6.263888240E-2
4.947980000E-1,-4.906892013E-2,-1.539811617E-1,-2.266907036E-2
5.148860000E-1,-1.945350375E-2,-1.622438622E-1,8.552722335E-3
5.349740000E-1,8.483659409E-2,-4.072351813E-2,1.093125272E-1
5.550620000E-1,3.980534813E-1,6.646530032E-2,2.306106770E-1
5.751500000E-1,5.431942377E-1,1.745955205E-1,1.023859155E-1
5.952380000E-1,6.702119511E-1,2.756333604E-1,-3.421966016E-2
6.153270000E-1,7.288755309E-1,2.120010361E-1,-7.679323733E-2
6.354150000E-1,6.629796763E-1,1.979396519E-1,-1.940983236E-1
6.555030000E-1,5.246370390E-1,9.413929492E-2,-3.898122329E-1
6.755910000E-1,3.741885092E-1,-6.247749925E-3,-2.275672013E-1
6.956790000E-1,3.011288652E-1,-8.771174312E-2,-1.017737120E-1
7.157670000E-1,1.938118466E-1,-1.599894682E-1,-9.700530767E-4
7.358550000E-1,1.327811312E-2,-1.542898947E-1,4.478031635E-2
7.559440000E-1,-9.791948330E-2,-1.707916144E-1,-8.724630475E-3
7.760320000E-1,-8.323580917E-2,-1.687363181E-1,1.972528964E-1
7.961200000E-1,-2.295322312E-1,-1.728378475E-1,3.184370255E-1
8.162080000E-1,-4.652764712E-1,-1.906528518E-1,2.955334818E-1
8.362960001E-1,-3.453502608E-1,-3.513825774E-2,3.875347424E-1
8.563840000E-1,1.287254293E-1,1.687576604E-1,3.891433114E-1
8.764730000E-1,3.263231288E-1,3.017183742E-1,2.249973500E-1
8.965610000E-1,4.818088887E-1,4.387645376E-1,1.389257509E-1
9.166490000E-1,1.091784871E0,6.375692850E-1,4.195646203E-1
9.367370000E-1,1.780641473E0,8.178003520E-1,4.585100001E-1
9.568250000E-1,1.934325011E0,8.185657525E-1,1.417493713E-1
9.769130000E-1,1.592124171E0,7.618325579E-1,-3.095738161E-1
9.970010000E-1,1.398294965E0,6.110451454E-1,-4.048196965E-1
1.017090000E0,1.302558357E0,5.052640441E-1,-3.133136952E-1
1.037178000E0,1.033947356E0,2.459175181E-1,-3.355108953E-1
1.057266000E0,6.054667189E-1,-2.902557850E-2,-3.277972484E-1
1.077354000E0,3.086843815E-1,-2.465305987E-1,-4.970671248E-1
1.097442000E0,1.702302817E-1,-3.761502135E-1,-5.654415411E-1
1.117530000E0,-3.648954197E-1,-5.577024588E-1,-2.447626930E-1
1.137618458E0,-1.057937824E0,-8.589027697E-1,1.446969527E-1
1.157707458E0,-1.345033847E0,-9.664979696E-1,3.862208730E-1
1.177795458E0,-1.346502083E0,-9.623800680E-1,4.405415064E-1
1.197883458E0,-1.386780043E0,-9.677302703E-1,2.173643947E-1
1.217971458E0,-1.591406717E0,-1.046086468E0,4.914929742E-1
1.238059458E0,-1.474559614E0,-9.683690786E-1,6.071947539E-1
1.258147458E0,-1.141687202E0,-8.124124351E-1,6.473522615E-1
1.278235458E0,-9.645919966E-1,-7.283361983E-1,6.294545192E-1
1.298324458E0,-9.698426501E-1,-6.652084887E-1,4.881986529E-1
1.318412458E0,-9.642710575E-1,-6.441614360E-1,5.942139351E-1
1.338500458E0,-7.238095032E-1,-5.772874153E-1,6.763936275E-1
1.358588458E0,-3.144292708E-1,-3.456166381E-1,5.489822137E-1
1.378676458E0,-3.333000630E-2,-1.024788862E-1,3.864793199E-1
1.398764458E0,1.086656059E-1,-2.238314152E-2,1.526392257E-1
1.418852458E0,2.308519477E-1,3.449447930E-2,2.249073029E-2
1.438941458E0,2.633323536E-1,1.235984445E-2,-3.635102874E-1
1.459029458E0,4.435028288E-1,1.561627579E-1,-6.393602872E-1
1.479117458E0,4.011447946E-1,3.064975959E-1,-7.235297871E-1
1.499205458E0,4.550500564E-1,3.112309170E-1,-4.163831502E-1
1.519293458E0,6.446360837E-1,3.081634676E-1,-1.002037346E-1
1.539381458E0,5.258765025E-1,1.826266712E-1,3.681582391E-2
1.559469458E0,3.527731915E-1,-4.015867710E-3,4.138214850E-1
1.579558458E0,5.281664184E-1,9.200593829E-4,6.712773138E-1
1.599646458E0,5.785049517E-1,4.714142203E-2,5.752251023E-1
1.619734458E0,4.051107417E-1,-8.841428608E-2,5.923884344E-1
1.639822458E0,1.842584829E-1,-2.178850892E-1,4.457928908E-1
1.659910458E0,1.009536400E-1,-2.531736204E-1,1.259227127E-1
1.679998458E0,1.573846067E-1,-2.223789668E-1,-2.144407868E-1
1.700086458E0,2.597268143E-1,-2.272847807E-1,-2.366169369E-1
1.720175458E0,4.464121109E-1,-3.030711275E-1,-1.001686513E-1
1.740263458E0,4.738624495E-1,-4.496669635E-1,1.782319039E-1
1.760351458E0,5.410490770E-1,-6.024678648E-1,4.337739390E-1
1.780439458E0,6.949870424E-1,-6.924319553E-1,4.792220074E-1
1.800527458E0,7.362059659E-1,-8.057007086E-1,5.528378677E-1
1.820615458E0,8.481771489E-1,-8.757453820E-1,6.262321186E-1
1.840703458E0,9.111244719E-1,-9.986743203E-1,1.183030890E0
1.860792458E0,9.469338439E-1,-1.124161708E0,1.320398358E0
1.880880458E0,8.419497181E-1,-1.323825119E0,1.326619796E0
1.900968458E0,9.651774491E-1,-1.482856813E0,1.505459225E0
1.921056458E0,1.580589222E0,-1.391262226E0,1.497470759E0
1.941144458E0,2.024477821E0,-1.311847098E0,1.365741177E0
1.961232458E0,2.339732645E0,-1.264482897E0,8.245246500E-1
1.981320458E0,2.634956517E0,-1.296264560E0,6.214233685E-1
2.001409458E0,3.546765771E0,-1.142626630E0,1.053375900E0
2.021497458E0,3.415409533E0,-1.310109013E0,1.084453266E0
2.041585458E0,3.207631941E0,-1.273986084E0,6.264250767E-1
2.061673458E0,3.240679527E0,-1.059184524E0,1.977148265E-1
2.081761458E0,3.215053227E0,-8.980153799E-1,-6.391182125E-2
2.101849458E0,3.089261785E0,-6.603962302E-1,-5.642498785E-1
2.121940250E0,3.061741864E0,-4.265619832E-1,-6.069380611E-1
2.142028250E0,2.803564197E0,-1.073759294E-1,-1.381009426E0
2.162117250E0,2.425214845E0,2.590006632E-1,-2.141038118E0
2.182205250E0,2.179259759E0,5.222347105E-1,-2.562582021E0
2.202293250E0,2.210215065E0,8.443379402E-1,-2.553566199E0
2.222381250E0,2.046960511E0,8.657656467E-1,-2.757362130E0
2.242469250E0,1.107842421E0,5.574519056E-1,-2.664223586E0
2.262557250E0,3.435787372E-1,4.795810264E-1,-2.345895903E0
2.282645250E0,-3.082096606E-1,2.395791364E-1,-1.907257665E0
2.302734250E0,-9.435672364E-1,1.789897031E-1,-1.592804933E-1
2.322822250E0,-1.464617739E0,3.155093247E-1,5.571285546E-1
2.342910250E0,-1.889510781E0,7.995529461E-1,2.554063797E-3
2.362998250E0,-2.133904076E0,1.058806794E0,-5.981654835E-1
2.383086250E0,-2.697927521E0,9.173544610E-1,6.559733963E-1
2.403174250E0,-2.484036081E0,1.154471335E0,7.978829813E-1
2.423262250E0,-2.704572005E0,9.630796874E-1,1.551773851E0
2.443350250E0,-2.910290208E0,4.377073610E-1,1.937123489E0
2.463439250E0,-2.660992414E0,2.616664088E-1,1.917185653E0
2.483527250E0,-2.617938196E0,3.126102751E-1,2.188590015E0
2.503615250E0,-2.676263880E0,2.842208737E-1,1.765814103E0
2.523703250E0,-3.047854727E0,2.618125892E-1,8.619468302E-1
2.543791250E0,-2.819030959E0,-3.300221139E-1,9.864779055E-2
2.563879250E0,-2.419701798E0,-3.975545311E-1,-1.602774435E-1
2.583967250E0,-2.521257701E0,-2.355468965E-1,-7.140672380E-1
2.604056250E0,-2.617547017E0,-3.810314691E-1,-1.498488759E0
2.624144250E0,-2.456274085E0,-7.160301483E-1,-1.599948476E0
2.644232250E0,-2.238281992E0,-6.872957611E-1,-1.024589472E0
2.664320250E0,-2.039932158E0,-5.261160922E-1,-8.031443059E-1
2.684408250E0,-1.796889716E0,-4.797611207E-1,-9.442902446E-2
2.704496250E0,-1.799909218E0,-7.426314712E-1,8.286416745E-1
2.724584250E0,-1.984194744E0,-4.813065398E-1,1.146413872E0
2.744672250E0,-2.184341135E0,-1.713620102E-1,1.140806977E0
2.764761250E0,-2.063838792E0,1.006194717E-1,4.679953533E-1
2.784849250E0,-1.425467561E0,6.589396888E-1,-2.649899662E-2
2.804937250E0,-1.004511888E0,9.046005142E-1,7.549474615E-1
2.825025250E0,-9.574628520E-1,9.020218921E-1,1.195046918E0
2.845113250E0,-8.515308926E-1,7.507012135E-1,8.679618609E-1
2.865201250E0,-6.955175310E-1,6.774081194E-1,4.465085900E-1
2.885289250E0,-7.536987886E-1,3.944496596E-1,4.890728116E-2
2.905377250E0,-8.177889499E-1,2.394043046E-1,-5.411568850E-1
2.925466250E0,-8.315047637E-1,2.297061127E-1,-8.994613963E-1
2.945554250E0,-5.396354395E-1,3.066162944E-2,-7.529915679E-1
2.965642250E0,-9.819901675E-2,-3.765606880E-2,-5.263488114E-1
2.985730250E0,3.805750939E-1,1.116794801E-1,-6.497443575E-1
3.005818250E0,4.725047261E-1,2.988348198E-1,-1.395711080E0
3.025906250E0,5.100017140E-1,2.493013018E-1,-1.872103035E0
3.045994250E0,9.349920022E-1,-2.300487596E-1,-6.817987937E-1
3.066083250E0,1.198633308E0,-6.317092055E-1,1.545459443E0
3.086171250E0,1.379242105E0,-8.869115174E-1,3.484718919E0
3.106259250E0,5.476136729E-1,-1.168630952E0,3.089947663E0
3.126344333E0,-7.405700353E-1,-1.444856343E0,1.101400836E0
3.146432333E0,-8.176974410E-1,-1.320518811E0,-4.297925699E-1
3.166520333E0,-4.396343474E-1,-9.174813455E-1,-1.642677589E0
3.186608333E0,-2.093885002E-1,-3.890421546E-1,-2.053661420E0
3.206696333E0,-3.538351920E-1,-2.569079447E-1,-1.760746322E0
3.226785333E0,-5.336426282E-1,-3.610100180E-1,-6.574889946E-1
3.246873333E0,-3.129929754E-1,-2.252873719E-1,6.979833019E-1
3.266961333E0,-2.213589200E-1,-1.308144933E-1,1.246175557E0
3.287049333E0,-3.621999264E-1,-8.777430832E-2,1.082087483E0
3.307137333E0,-3.092738539E-1,-6.191382766E-2,9.839770514E-1
3.327225333E0,9.549946692E-3,-6.675356805E-2,6.475931668E-1
3.347313333E0,-7.639065653E-2,-1.657521915E-1,-3.258442783E-1
3.367401333E0,-3.425781325E-1,2.300996304E-2,-1.220520898E0
3.387490333E0,-4.108186474E-1,1.416751117E-1,-1.516667753E0
3.407578333E0,-9.792127401E-2,5.178937376E-2,-1.133426621E0
3.427666333E0,-8.272640705E-2,-8.491911292E-3,-4.822286457E-1
3.447754333E0,2.109175470E-1,3.190299332E-2,2.404907173E-1
3.467842333E0,6.413796231E-1,1.222149932E-1,8.491654015E-1
3.487930333E0,8.328531316E-1,1.777413225E-1,6.116117406E-1
3.508018333E0,5.288800710E-1,8.633180022E-2,-8.852041304E-2
3.528106333E0,5.907023898E-1,1.835669035E-1,-1.458342361E-1
3.548195333E0,8.759944734E-1,3.771594429E-1,9.433640456E-1
3.568283333E0,7.722900108E-1,4.081315595E-1,1.203845809E0
3.588371333E0,4.371875435E-1,4.409361935E-1,7.501077211E-1
3.608459333E0,4.490021351E-1,1.055188537E0,4.596402669E-1
3.628547333E0,2.267813355E-1,1.457172918E0,8.878967732E-1
3.648635333E0,-6.337922761E-1,1.302950267E0,9.644590455E-1
3.668723333E0,-1.020692596E0,1.882105867E0,-1.191498828E-1
3.688811333E0,-8.099066108E-1,2.023601469E0,-6.720216644E-1
3.708900333E0,-7.198571509E-1,1.415376436E0,7.150945938E-1
3.728988333E0,-9.259092298E-1,4.053319126E-1,2.771663250E0
3.749076333E0,-4.798757261E-1,-2.824129146E-1,3.938309657E0
3.769164333E0,-4.320390701E-2,-4.397591490E-1,3.324974742E0
3.789252333E0,1.222869140E-1,-3.900361812E-1,1.077933621E0
3.809340333E0,-3.078381066E-1,-7.648438740E-1,2.105787009E-1
3.829428333E0,-7.814806643E-1,-1.377744926E0,9.907826257E-1
3.849516333E0,-7.650578821E-1,-1.937759081E0,1.065022384E0
3.869605333E0,-8.128942457E-1,-2.210484914E0,2.142396426E-1
3.889693333E0,-9.564460212E-1,-2.233280869E0,-6.364170912E-1
3.909781333E0,-8.902084699E-1,-2.274227166E0,-4.782496154E-1
3.929869333E0,-1.241625838E0,-2.473998458E0,5.692249820E-1
3.949957333E0,-1.081139357E0,-2.313363165E0,1.187087688E0
3.970045333E0,-6.246560016E-1,-1.931271011E0,9.865726304E-1
3.990133333E0,-3.267131746E-1,-1.478998235E0,5.510515434E-1
4.010221333E0,-2.905303483E-1,-1.120218930E0,2.478851062E-1
4.030310333E0,-9.214078970E-3,-9.910165143E-1,1.213075054E-1
4.050398333E0,-8.473510835E-3,-1.002305734E0,3.990724683E-3
4.070486333E0,-1.443315017E-1,-1.107869611E0,9.721463799E-2
4.090574333E0,-5.663741720E-1,-1.164782900E0,8.255274475E-2
4.110662333E0,-5.715232301E-1,-1.003087506E0,-2.150787181E-1
4.130749833E0,-9.507718831E-2,-7.874638277E-1,-2.271309990E-1
4.150837833E0,6.206877887E-2,-3.781499612E-1,6.702487886E-2
4.170925833E0,-8.541698506E-2,-6.624018252E-2,2.611606246E-1
4.191014833E0,-1.944588044E-1,-1.352121842E-1,4.444351673E-2
4.211102833E0,-1.475544870E-1,-6.118818820E-2,1.732822359E-1
4.231190833E0,8.797695089E-2,3.362996846E-1,9.457005930E-1
4.251278833E0,1.030147836E-1,5.448131490E-1,1.729091250E0
4.271366833E0,-2.262843221E-1,4.279407567E-1,2.188483011E0
4.291454833E0,-4.740088492E-1,2.211177224E-1,2.407555377E0
4.311542833E0,-1.882349550E-1,5.222089827E-2,1.653699591E0
4.331630833E0,-3.795027146E-1,2.436897290E-1,-3.977860808E-1
4.351719833E0,-1.036926440E0,8.122683012E-1,-1.237194234E0
4.371807833E0,-9.158075070E-1,2.811820757E-1,8.208409041E-1
4.391895833E0,-4.183887452E-2,-9.525874436E-2,2.449622000E0
4.411983833E0,8.724738649E-1,-2.726439714E-2,2.501938793E0
4.432071833E0,8.169920475E-1,-6.406034052E-2,1.227030603E0
4.452159833E0,2.879329786E-1,-5.283456355E-1,2.343716061E-1
4.472247833E0,4.197857181E-1,-1.071156698E0,3.330305064E-1
4.492335833E0,8.818739218E-1,-1.030229112E0,9.618044096E-1
4.512424833E0,1.621557154E0,-9.124761289E-1,8.843188620E-1
4.532512833E0,1.690742286E0,-6.140506142E-1,5.756022477E-1
4.552600833E0,1.550355609E0,-5.123985243E-1,1.591027379E-3
4.572688833E0,1.890772610E0,-2.756482708E-1,6.870267892E-1
4.592776833E0,1.132817707E0,-1.916845930E-1,1.187212819E0
4.612864833E0,3.307457799E-1,-1.925014490E-1,1.144373193E0
4.632952833E0,3.459914446E-2,-3.107327342E-1,9.767586637E-1
4.653040833E0,-8.170314431E-2,-1.870360565E-1,5.427104902E-1
4.673129833E0,-3.142956620E-1,6.515143096E-2,-3.949063271E-1
4.693217833E0,-2.264799115E-1,-6.163608491E-2,-3.643680739E-1
4.713305833E0,-1.030826113E-1,-4.251609904E-1,-9.491913807E-1
4.733393833E0,-5.458935682E-1,-5.615753621E-1,-1.445133501E0
4.753481833E0,-6.788064811E-1,-4.913555646E-1,-1.614658316E0
4.773569833E0,-1.956137757E-1,-4.914508742E-1,-1.287305456E0
4.793657833E0,1.132332315E-1,-4.850809175E-1,-1.162714155E0
4.813745833E0,-3.695893452E-2,-2.046016771E-1,-1.485127287E0
4.833834833E0,-4.873332649E-2,-2.546386403E-1,-1.601369934E0
4.853922833E0,-6.851138726E-2,-1.926973307E-1,-8.997379696E-1
4.874010833E0,-1.425486857E-1,-1.843217790E-1,-1.388766342E-1
4.894098833E0,-3.730626643E-1,2.215124094E-1,-3.120787632E-1
4.914186833E0,-3.139201976E-1,6.637817681E-1,-1.679646610E0
4.934274833E0,8.338304937E-2,3.515322661E-1,-1.286554674E0
4.954362833E0,8.279145733E-2,2.016353846E-2,1.069980238E0
4.974450833E0,2.440858047E-1,-4.483604032E-1,2.683262120E0
4.994539833E0,-1.183032060E-1,-7.814183915E-1,3.628205498E0
5.014627833E0,-2.230822407E-1,-1.008936476E0,4.019761956E0
5.034715833E0,-6.444011718E-2,-9.646748078E-1,2.715934022E0
5.054803833E0,-2.210130572E-2,-4.897312081E-1,1.755942249E-1
5.074891833E0,-1.815564115E-1,1.468861502E-1,-1.208218941E0
5.094979833E0,-1.717752622E-1,2.383395267E-1,-1.138003821E0
5.115067833E0,8.974160403E-2,1.215986967E-2,-6.304865527E-1
5.135156250E0,3.321155633E-1,-1.376902342E-1,-8.843188620E-1
