"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.228392124E-2,3.211053084E1,1.189557495E2,1.984679818E1,-1.000000000E0,-1.000000000E0,6.000000000E1,6.000000000E1
1.228392124E-2,3.211053084E1,1.189557495E2,1.984679818E1,-1.000000000E0,-1.000000000E0,6.000000000E1,6.000000000E1
5.721060038E-1,3.211066054E1,1.189557547E2,1.755720639E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.269774437E0,3.211048052E1,1.189556646E2,1.693296321E1,0.000000000E0,-1.000000000E0,8.201135806E0,8.201135806E0
5.269748688E0,3.211047485E1,1.189556620E2,1.830534972E1,0.000000000E0,-1.000000000E0,1.496348175E1,1.496348175E1
6.269723892E0,3.211041305E1,1.189556938E2,1.849219275E1,8.854940534E-2,-1.000000000E0,1.358497130E1,1.358497130E1
7.269697189E0,3.211040411E1,1.189556813E2,1.887624723E1,7.628584653E-2,-1.000000000E0,9.281851625E0,9.281851625E0
8.309671283E0,3.211041744E1,1.189556928E2,1.904395857E1,4.970788583E-2,-1.000000000E0,6.290792857E0,6.290792857E0
9.309843659E0,3.211041698E1,1.189556767E2,1.912807085E1,8.521848172E-2,-1.000000000E0,4.865556855E0,4.865556855E0
1.084025422E1,3.211042920E1,1.189556875E2,1.840192851E1,2.877613585E-1,-1.000000000E0,4.766814081E0,4.766814081E0
1.184023646E1,3.211042925E1,1.189557083E2,1.870765255E1,4.418719651E-1,6.403878067E1,4.770524278E0,4.770524278E0
1.284021953E1,3.211042800E1,1.189557209E2,1.892899615E1,9.115955913E-1,8.401074961E1,4.765202697E0,4.765202697E0
1.384020094E1,3.211042951E1,1.189557380E2,1.896623726E1,1.069349661E0,8.590802902E1,4.768786611E0,4.768786611E0
1.484018186E1,3.211043414E1,1.189557525E2,1.884682998E1,8.017548470E-1,8.303201107E1,4.763781526E0,4.763781526E0
1.584016243E1,3.211043615E1,1.189557653E2,1.834655791E1,8.159845143E-1,7.627025895E1,4.768613315E0,4.768613315E0
1.684014372E1,3.211043603E1,1.189557779E2,1.796443792E1,8.935621255E-1,7.974664056E1,4.768384347E0,4.768384347E0
1.784012345E1,3.211044223E1,1.189557786E2,1.743915209E1,8.426059959E-1,7.843459768E1,4.763304286E0,4.763304286E0
1.884010378E1,3.211045170E1,1.189557820E2,1.712280415E1,7.394183511E-1,4.933725027E1,4.767761417E0,4.767761417E0
1.984008316E1,3.211044963E1,1.189557853E2,1.654898236E1,7.134952750E-1,1.526829532E1,4.769173546E0,4.769173546E0
2.084006182E1,3.211044872E1,1.189557905E2,1.643394389E1,5.749971910E-1,4.695456844E1,4.764133723E0,4.764133723E0
2.184004120E1,3.211045099E1,1.189557888E2,1.583001298E1,4.430524387E-1,1.441563235E1,4.762952779E0,4.762952779E0
2.284002093E1,3.211045783E1,1.189557840E2,1.564849510E1,7.236468052E-1,3.357728034E2,4.767117214E0,4.767117214E0
2.383999876E1,3.211045461E1,1.189557853E2,1.560591071E1,2.760381446E-1,3.494122811E2,4.772327670E0,4.772327670E0
2.483997706E1,3.211045565E1,1.189557789E2,1.561073978E1,3.977420617E-1,3.393238081E2,4.769534253E0,4.769534253E0
2.583995584E1,3.211045747E1,1.189557804E2,1.577393342E1,4.429841497E-1,-1.000000000E0,4.764968002E0,4.764968002E0
2.683993379E1,3.211046829E1,1.189557829E2,1.603880456E1,6.028667404E-1,3.553365558E2,4.768201930E0,4.768201930E0
2.783991162E1,3.211047370E1,1.189557814E2,1.623701018E1,6.049774885E-1,3.540380981E2,4.768610586E0,4.768610586E0
2.883988873E1,3.211048509E1,1.189557833E2,1.639280873E1,6.891322984E-1,3.515583398E2,4.772459699E0,4.772459699E0
2.983986608E1,3.211049437E1,1.189557874E2,1.659925558E1,5.447002651E-1,3.574154603E2,4.777103585E0,4.777103585E0
3.083984426E1,3.211050647E1,1.189557876E2,1.670870799E1,6.734468644E-1,3.482885918E2,4.773778171E0,4.773778171E0
3.183982149E1,3.211051715E1,1.189557790E2,1.702237724E1,9.563023593E-1,3.212697861E2,4.773637497E0,4.773637497E0
3.283979801E1,3.211052879E1,1.189557724E2,1.684377369E1,8.248410694E-1,3.305347026E2,4.773557889E0,4.773557889E0
3.383977619E1,3.211054214E1,1.189557678E2,1.702886316E1,6.826432654E-1,3.388737303E2,4.771860520E0,4.771860520E0
3.483975223E1,3.211055392E1,1.189557685E2,1.669123598E1,7.987031011E-1,3.547112752E2,4.771289771E0,4.771289771E0
3.583972982E1,3.211056647E1,1.189557662E2,1.646114925E1,8.457607079E-1,4.967223564E0,4.772537122E0,4.772537122E0
3.683970598E1,3.211058052E1,1.189557652E2,1.631096363E1,8.641389072E-1,2.187079786E0,4.774164594E0,4.774164594E0
3.783968238E1,3.211058880E1,1.189557600E2,1.599746459E1,7.590358169E-1,3.473427142E2,4.774099574E0,4.774099574E0
3.883965937E1,3.211060323E1,1.189557628E2,1.595887487E1,9.921230044E-1,3.553884135E2,4.774373607E0,4.774373607E0
3.983963529E1,3.211060840E1,1.189557607E2,1.591468468E1,8.771096640E-1,3.547880398E2,4.770812881E0,4.770812881E0
4.083961145E1,3.211062150E1,1.189557581E2,1.581930950E1,1.104685777E0,3.414650534E2,4.765358473E0,4.765358473E0
4.183958808E1,3.211063287E1,1.189557506E2,1.597053505E1,1.265966561E0,3.349786758E2,4.764991377E0,4.764991377E0
4.283956531E1,3.211064294E1,1.189557407E2,1.593438952E1,1.239033893E0,3.331749379E2,4.764275290E0,4.764275290E0
4.383954064E1,3.211064910E1,1.189557270E2,1.580072465E1,1.019971955E0,3.263188926E2,4.767144425E0,4.767144425E0
4.483951691E1,3.211066351E1,1.189557238E2,1.554335433E1,1.143207303E0,3.373302911E2,4.764001547E0,4.764001547E0
4.583949367E1,3.211067436E1,1.189557142E2,1.542007229E1,1.151363505E0,3.387331027E2,4.762474346E0,4.762474346E0
4.683946911E1,3.211067974E1,1.189557057E2,1.536377632E1,1.009070208E0,3.378712056E2,4.764937401E0,4.764937401E0
4.783944479E1,3.211068271E1,1.189556916E2,1.529745862E1,1.158180236E0,3.145651749E2,4.766026549E0,4.766026549E0
4.883942131E1,3.211069307E1,1.189556961E2,1.629579386E1,1.318816569E0,3.354312755E2,4.729808803E0,4.729808803E0
4.983939699E1,3.211069899E1,1.189556903E2,1.576867800E1,1.037683884E0,3.371717888E2,4.730943928E0,4.730943928E0
5.083937267E1,3.211070620E1,1.189556877E2,1.570490047E1,8.700020281E-1,3.397218086E2,4.730702817E0,4.730702817E0
5.183934776E1,3.211071708E1,1.189556823E2,1.527766021E1,9.803924709E-1,3.387005106E2,4.729689342E0,4.729689342E0
5.283932415E1,3.211073058E1,1.189556782E2,1.533362844E1,1.315980911E0,3.421297445E2,4.731894153E0,4.731894153E0
5.383929983E1,3.211074304E1,1.189556815E2,1.532591444E1,1.372429901E0,3.561166215E2,4.730623809E0,4.730623809E0
5.483927599E1,3.211075175E1,1.189556802E2,1.499180227E1,1.021189627E0,3.567484175E2,4.734062049E0,4.734062049E0
5.583925084E1,3.211076436E1,1.189556834E2,1.474313301E1,1.161286198E0,6.957810633E0,4.735148978E0,4.735148978E0
5.683922700E1,3.211077729E1,1.189556786E2,1.481012838E1,1.337398387E0,3.570718733E2,4.734630138E0,4.734630138E0
5.783920208E1,3.211078994E1,1.189556762E2,1.473970352E1,1.404347617E0,3.549379543E2,4.728106933E0,4.728106933E0
5.883917788E1,3.211079783E1,1.189556735E2,1.473244095E1,1.082587862E0,3.539105410E2,4.732852237E0,4.732852237E0
5.983915428E1,3.211081139E1,1.189556706E2,1.471903171E1,1.273216390E0,3.528066676E2,4.733896731E0,4.733896731E0
6.083912984E1,3.211082014E1,1.189556692E2,1.458412616E1,1.146481733E0,3.524819930E2,4.732766745E0,4.732766745E0
6.183910540E1,3.211082815E1,1.189556670E2,1.416555753E1,9.598961560E-1,3.514971671E2,4.730816327E0,4.730816327E0
